システム名,JGS,,サブシステム名,,,機能名／画面名,車台番号連絡表一覧画面

分類,試験番号,試験・確認項目,試験・確認内容,該当,確認日,結果,特記事項
初期表示,TSL-001,初回表示時の検索条件初期化,操作: 画面を起動する / 期待: 未確認(Status99)のみチェックON、他チェックOFF、文字列条件と日付条件は空で表示される,,,,InitializeForFirstDisplay()でClear後にCondSTS_Unregistered=true
初期表示,TSL-002,初回表示時の自動検索実行,操作: 画面起動完了まで待機する / 期待: 画面表示後に自動で一覧検索され、グリッドにデータが表示される,,,,ShownイベントでSearchExecute()を1回実行
初期表示,TSL-003,初回表示の多重実行防止,操作: 画面を表示→最小化/復元などでShown相当の再描画を発生させる / 期待: 初回のみ自動検索され、2回目以降は自動検索されない,,,,_isFirstShownフラグで制御
検索(文字列),TSL-004,発注時契約Noの完全一致,操作: 発注時契約Noに既存値を入力して検索 / 期待: 完全一致したレコードのみ表示される,,,,HCHKYKNOはExact(=)
検索(文字列),TSL-005,車台番号の前方一致,操作: 車台番号に先頭数桁を入力して検索 / 期待: 入力値で始まる車台番号のみ表示される,,,,FRMNOはPrefix(LIKE 値%)
検索(文字列),TSL-006,車両特定番号の前方一致,操作: 車両特定番号に先頭数桁を入力して検索 / 期待: 入力値で始まる車両特定番号のみ表示される,,,,FRMSERNOはPrefix
検索(文字列),TSL-007,販売店名の部分一致(STRNM1+STRNM2),操作: 販売店名に部分文字列を入力して検索 / 期待: STRNM1+STRNM2結合値に部分一致するレコードが表示される,,,,"COALESCE(STRNM1,'')+COALESCE(STRNM2,'')でContains"
検索(文字列),TSL-008,お客様名の部分一致,操作: お客様名に部分文字列を入力して検索 / 期待: 部分一致したレコードのみ表示される,,,,KKYKNMはContains
検索(文字列),TSL-009,LIKE特殊文字のエスケープ,操作: 特殊文字を含む検索文字列で検索 / 期待: ワイルドカード誤解釈なく文字として一致判定される,,,,EscapeLikeValue()でエスケープ
検索(日付),TSL-010,取込日Fromの下限含む,操作: Fromのみ指定して検索 / 期待: From当日00:00以降のデータが表示される,,,,IMPDT >= From.Date
検索(日付),TSL-011,取込日Toの上限含む(当日内),操作: Toのみ指定して検索 / 期待: To当日23:59:59相当まで含まれる(翌日0時以降は除外),,,,IMPDT < To.Date.AddDays(1)
検索(日付),TSL-012,取込日From/To範囲検索,操作: FromとToを指定して検索 / 期待: 指定範囲内のみ表示される,,,,From下限・To翌日未満の組合せ
検索(チェック),TSL-013,種別:通常のみ,操作: 通常のみチェックして検索 / 期待: CSVTYP=1のみ表示,,,,CSVTYP IN句
検索(チェック),TSL-014,種別:TMTのみ,操作: TMTのみチェックして検索 / 期待: CSVTYP=2のみ表示,,,,CSVTYP IN句
検索(チェック),TSL-015,種別:両方ON,"操作: 通常・TMT両方チェックで検索 / 期待: CSVTYP=1,2の両方が表示",,,,"IN(1,2)"
検索(チェック),TSL-016,種別:両方OFF,操作: 通常・TMTを両方OFFで検索 / 期待: 種別条件での絞込が行われず全種別対象,,,,種別条件は0件時WHERE未追加
検索(チェック),TSL-017,ステータス:未確認のみ,操作: 未確認のみチェックして検索 / 期待: status=9または99のみ表示,,,,未確認で9と99を両方追加
検索(チェック),TSL-018,ステータス複数選択,操作: 複数チェックして検索 / 期待: 選択したステータス集合のみ表示,,,,STATUS IN句
検索(チェック),TSL-019,担当UT絞込,操作: 担当UT(登録/書類)の片方をチェックして検索 / 期待: 該当TNTUTのみ表示,,,,TNTUT IN句
クリア,TSL-020,クリアボタンの条件初期化,操作: クリアボタンを押下 / 期待: 全条件が未入力/未チェック状態に戻る,,,,Conditions.Clear()
クリア,TSL-021,クリア後の検索挙動,操作: クリアボタン押下後にグリッドを確認 / 期待: クリア操作のみでは再検索されず、表示結果は直前検索のまま,,,,ClearSearchConditions()はSearchExecuteを呼ばない
一覧表示,TSL-022,検索中の操作抑止,操作: 検索ボタン押下直後に再度検索/クリア/グリッド操作を試行 / 期待: 検索中は検索ボタン・クリアボタン・グリッドが無効化される,,,,SearchExecute()冒頭でEnabled=false
一覧表示,TSL-023,検索例外時の復帰,操作: 検索を実行 / 期待: 警告ダイアログ表示後、グリッド/検索/クリアが再度操作可能に戻る,,,,try-catch-finallyでUI復帰
件数表示,TSL-024,表示件数ラベル更新(検索時),操作: 条件を変えて検索を実行 / 期待: KensuLblが現在表示行数(Visible行数)に一致して更新される,,,,UpdateVisibleRowCountLabel()
件数表示,TSL-025,ヘッダフィルタ後の表示件数ラベル更新,操作: 列ヘッダのフィルタで表示件数を変える / 期待: フィルタメニューを閉じたタイミングでKensuLblが更新される,,,,HeaderDropDownListClosedイベント
画面遷移,TSL-026,行ヘッダダブルクリックで確認画面遷移,操作: データ行の行ヘッダをダブルクリック / 期待: FrameSheetCheck画面が開く,,,,RowHeaderCell判定時のみ遷移
画面遷移,TSL-027,データセルダブルクリック時の非遷移,操作: データセル(行ヘッダ以外)をダブルクリック / 期待: 確認画面は開かない,,,,RowHeaderCell以外はreturn
画面遷移,TSL-028,フィルタ後の遷移キー順序,操作: 可視行の行ヘッダをダブルクリック / 期待: 可視行のみで構成したキー配列と可視順インデックスで確認画面が開く,,,,CreateVisibleKeyList/TryGetVisibleKeyIndex
レイアウト,TSL-029,列幅自動調整の安全性,操作: 初回表示時に画面幅を変更して起動 / 期待: 販売店名/お客様名列が余剰幅を按分し、例外なく表示される,,,,AdjustColumnWidths()
終了処理,TSL-030,閉じる操作,操作: 閉じるボタン押下または×で終了 / 期待: フォームが正常終了し、異常なくクローズする,,,,CloseBtn_Click/FormClosed
